skill,score,timestamp
M,5.0,2025-04-12 18:38:05.926207
M,5.0,2025-04-12 18:38:05.926207
F,25.0,2025-04-12 22:41:44.926207
D,6.0,2025-04-12 22:44:25.658137
S,7.0,2025-04-12 23:02:29.926207
D,7.0,2025-04-13 03:08:54.658137
A,6.0,2025-04-13 03:13:31.658137
G,8.0,2025-04-13 06:11:52.926207
E,7.0,2025-04-13 08:28:55.926207
G,7.0,2025-04-13 09:57:10.926207
A,8.0,2025-04-13 15:22:19.658137
B,5.0,2025-04-13 17:23:36.658137
A,7.0,2025-04-13 19:07:20.658137
D,8.0,2025-04-13 23:31:50.658137
B,7.0,2025-04-14 00:51:43.658137
N,7.0,2025-04-14 01:34:41.926207
,5.0,2025-04-14 03:08:25.926207
D,4.0,2025-04-14 03:25:25.658137
G,4.0,2025-04-14 06:16:00.926207
K,6.0,2025-04-14 06:33:22.658137
S,12.1,2025-04-14 07:11:04.926207
D,7.0,2025-04-14 12:38:56.658137
N,8.0,2025-04-14 13:50:07.926207
G,5.0,2025-04-14 16:08:26.926207
B,6.0,2025-04-14 16:10:29.658137
K,7.0,2025-04-14 16:12:15.658137
A,7.0,2025-04-14 17:06:15.658137
B,7.0,2025-04-15 05:54:22.658137
F,5.0,2025-04-15 07:31:31.926207
G,6.0,2025-04-15 14:27:26.926207
K,5.0,2025-04-15 14:30:27.658137
E,,2025-04-15 15:08:28.926207
M,7.0,2025-04-15 16:28:21.926207
M,7.0,2025-04-15 16:28:21.926207
S,6.0,2025-04-15 17:42:21.926207
M,4.0,2025-04-15 21:08:15.926207
M,4.0,2025-04-15 21:08:15.926207
N,6.0,2025-04-15 21:16:01.926207
N,5.0,2025-04-15 22:51:57.926207
A,6.0,2025-04-16 01:13:37.658137
E,6.0,2025-04-16 07:54:33.926207
S,5.0,2025-04-16 09:47:55.926207
F,7.0,2025-04-16 23:25:28.926207
B,5.0,2025-04-16 23:53:16.658137
F,5.0,2025-04-17 02:05:32.926207
S,6.0,2025-04-17 02:36:38.926207
F,4.0,2025-04-17 10:29:18.926207
F,8.0,2025-04-17 14:34:25.926207
A,4.0,2025-04-17 17:34:54.658137
K,4.0,2025-04-17 21:07:40.658137
F,7.0,2025-04-18 03:55:41.926207
N,8.0,2025-04-18 06:53:45.926207
N,7.0,2025-04-18 10:26:28.926207
K,7.0,2025-04-18 13:59:32.658137
D,6.0,2025-04-18 17:42:12.658137
M,6.0,2025-04-18 18:12:33.926207
M,6.0,2025-04-18 18:12:33.926207
D,5.0,2025-04-18 19:45:59.658137
K,7.0,2025-04-19 02:29:02.658137
N,5.0,2025-04-19 02:39:13.926207
S,8.0,2025-04-19 05:16:28.926207
E,9.0,2025-04-19 05:23:08.926207
B,4.0,2025-04-19 09:00:03.658137
B,6.0,2025-04-19 09:47:03.658137
D,5.0,2025-04-19 10:26:10.658137
F,5.0,2025-04-19 13:05:57.926207
K,8.0,2025-04-19 17:16:25.658137
M,6.0,2025-04-19 18:04:43.926207
M,6.0,2025-04-19 18:04:43.926207
A,7.0,2025-04-19 18:22:11.658137
F,6.0,2025-04-19 20:18:38.926207
G,5.0,2025-04-19 21:45:23.926207
G,6.0,2025-04-19 22:08:25.926207
E,6.0,2025-04-19 22:44:49.926207
K,8.0,2025-04-20 00:03:21.658137
S,4.0,2025-04-20 01:55:21.926207
S,6.0,2025-04-20 02:05:56.926207
B,8.0,2025-04-20 09:11:51.658137
B,6.0,2025-04-20 09:46:49.658137
E,5.0,2025-04-20 15:49:50.926207
A,8.0,2025-04-20 18:38:22.658137
E,8.0,2025-04-20 19:09:54.926207
K,5.0,2025-04-20 19:33:07.658137
D,6.0,2025-04-20 22:34:11.658137
M,5.0,2025-04-21 03:49:23.926207
M,5.0,2025-04-21 03:49:23.926207
M,7.0,2025-04-21 05:16:32.926207
M,7.0,2025-04-21 05:16:32.926207
E,8.0,2025-04-21 07:35:25.926207
E,,2025-04-21 09:10:45.926207
S,7.0,2025-04-21 11:15:02.926207
A,5.0,2025-04-21 11:29:24.658137
M,8.0,2025-04-21 13:20:50.926207
M,8.0,2025-04-21 13:20:50.926207
M,8.0,2025-04-21 15:15:48.926207
M,8.0,2025-04-21 15:15:48.926207
K,6.0,2025-04-21 17:47:51.658137
A,5.0,2025-04-21 22:26:54.658137
E,4.0,2025-04-21 22:34:44.926207
D,8.0,2025-04-21 22:44:23.658137
N,4.0,2025-04-22 01:58:16.926207
M,6.0,2025-04-22 05:05:41.926207
M,6.0,2025-04-22 05:05:41.926207
B,7.0,2025-04-22 07:35:44.658137
G,5.0,2025-04-22 11:16:11.926207
G,8.0,2025-04-22 12:19:41.926207
N,,2025-04-22 13:07:00.926207
F,6.0,2025-04-22 13:11:42.926207
G,7.0,2025-04-22 15:08:20.926207
N,6.0,2025-04-22 15:47:08.926207
